code,name
11.01.10.2019,"Ujung Padang
Asahan"
11.01.10.2020,Pulo Ie II
11.01.10.2021,"Pemekaran Desa, Qonun No. 6/2010"
11.01.11,-
11.01.11.2001,"Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.01.11.2002,Paya Peulumat
11.01.11.2003,Padang Peulumat
11.01.11.2004,"Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.01.11.2005,Limau Saring
11.01.11.2006,Beutong
11.01.11.2007,Peuneulop
11.01.11.2008,Gunung Rotan
11.01.11.2009,Keumumu Hilir
11.01.11.2010,Keumumu Hulu
11.01.11.2011,Keumumu Seberang
11.01.11.2012,"Pemekaran Desa, Qonun No. 6/2010"
11.01.12,-
11.01.12.2001,Tutong
11.01.12.2002,"Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni
2016, Perbaikan nama sesuai Surat Pemkab Aceh Selatan
No.140/819/2016 tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes
No. 146/3672/BPD tgl 21 Juni 2017"
11.01.12.2003,Peulokan
11.01.12.2004,Kuta Iboh
11.01.12.2005,Ujung Padang
11.01.12.2006,Blang Baru
11.01.12.2007,Blang Poroh
11.01.12.2008,Pulo Ie
11.01.12.2009,"Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.01.12.2010,"Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.01.12.2011,Kuta Trieng
11.01.12.2012,Pante Geulima
11.01.12.2013,Panton Pawoh
11.01.12.2014,"Pemekaran Desa, Qonun No. 6/2010"
11.01.12.2015,"Pemekaran Desa, Qonun No. 6/2010"
11.01.13,-
11.01.13.2001,"Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni
2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh"
11.01.13.2002,"Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.01.13.2003,"Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.01.13.2004,Malaka
11.01.13.2005,Koto Indarung
11.01.13.2006,Siurai-Urai
11.01.13.2007,Kampung Sawah
11.01.13.2008,Kampung Padang
11.01.13.2009,Pulo Air
11.01.13.2010,Lawe Melang
11.01.13.2011,Mersak
11.01.13.2012,"Perbaikan nama Desa Kampung Tinggi sesuai Surat Pemkab Aceh
Selatan No.140/819/2016 tgl 14 okt 2016, Rekomedasi Ditjen Bina
Pemdes No. 146/3672/BPD tgl 21 Juni 2017 dan Surat Pemkab Aceh
Selatan No.140/810/2017 tgl 13 Okt 2017"
11.01.13.2013,"Perbaikan nama Desa Ruak sesuai Surat Pemkab Aceh Selatan
No.140/819/2016 tgl 14 okt 2016, Rekomedasi Ditjen Bina Pemdes No.
146/3672/BPD tgl 21 Juni 2017 dan Surat Pemkab Aceh Selatan
No.140/810/2017 tgl 13 Okt 2017"
11.01.14,-
11.01.14.2001,Paya Dapur
11.01.14.2002,Sapik
11.01.14.2003,Alai
11.01.14.2004,Durian Kawan
11.01.14.2005,Lawe Sawah
11.01.14.2006,Lawe Buluh Didi
11.01.14.2007,Pucuk Lembang
11.01.14.2008,"Pemekaran Desa, Qonun No. 6/2010"
11.01.14.2009,"Pemekaran Desa, Qonun No. 6/2010"
11.01.15,-
11.01.15.2001,"Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni
2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh"
11.01.15.2002,Ladang Rimba
11.01.15.2003,Ujong Pulo Rayeuk
11.01.15.2004,Sawah Tingkeum
11.01.15.2005,Simpang
11.01.15.2006,Ujong Pulo Cut
11.01.15.2008,Seuleukat
11.01.16,-
11.01.16.2005,Pinto Rimba
11.01.16.2006,Krueng Luas
11.01.16.2007,Jambo Dalem
